PERMNO,TICKER,CUSIP,COMNAM
88384,FUSB,33744V10,FIRST U S BANCSHARES INC
88442,GGAL,39990910,GRUPO FINANCIERO GALICIA S A
88635,MBRG,59609410,MIDDLEBURG FINANCIAL CORP
88719,AMRB,02932610,AMERICAN RIVER BANKSHARES
88792,BKMU,06375010,BANK MUTUAL CORP NEW
88797,CWBS,20273610,COMMONWEALTH BANKSHARES INC
88820,PGC,70469910,PEAPACK GLADSTONE FINANCIAL CORP
88865,HAFC,41049520,HANMI FINANCIAL CORP
88908,CSFL,15201P10,CENTERSTATE BANKS INC
88908,CSFL,15201P10,CENTERSTATE BANK CORP
88912,IBCP,45383860,INDEPENDENT BANK CORP MICH
88943,CTZN,17461R10,CITIZENS FIRST BANCORP INC
88944,FCBC,31983A10,FIRST COMMUNITY BANCSHARES INC
88951,UBOH,90945810,UNITED BANCSHARES INC
88965,FCZA,17886710,FIRST CITIZENS BANC CORP
88965,CIVB,17886710,CIVISTA BANCSHARES INC
88970,SHBI,82510710,SHORE BANCSHARES INC
88979,MROE,61031310,MONROE BANCORP
88984,UBFO,91146010,UNITED SECURITY BANKSHARES
89022,GLBZ,37740710,GLEN BURNIE BANCORP
89038,EVBN,29911Q20,EVANS BANCORP INC
89100,FBMI,33761G10,FIRSTBANK CORP
89109,MFNC,55457110,MACKINAC FINANCIAL CORP
89143,TOFC,89176910,TOWER FINANCIAL CORP
89202,RBNF,78408D10,RURBAN FINANCIAL CORP
89202,SBFG,78408D10,S B FINANCIAL GROUP INC
89211,PWOD,70843010,PENNS WOODS BANCORP INC
89262,WFD,95889210,WESTFIELD FINANCIAL INC
89262,WNEB,95889210,WESTERN NEW ENGLAND BANCORP INC
89263,ABVA,01853510,ALLIANCE BANKSHARES CORP
89268,CCBD,20363J10,COMMUNITY CENTRAL BANK CORP
89270,FCCY,31986N10,1ST CONSTITUTION BANCORP
89278,SCMF,84263210,SOUTHERN COMMUNITY FINCL CORP
89279,UNB,90540010,UNION BANKSHARES INC
89292,STEL,85856G10,STELLARONE CORP
89323,UCBI,90984P30,UNITED COMMUNITY BANKS INC GA
89323,UCB,90984P30,UNITED COMMUNITY BANKS INC GA
89395,PNFP,72346Q10,PINNACLE FINANCIAL PARTNERS INC
89424,SVBI,81811M10,SEVERN BANCORP INC MD
89425,WTBA,95123P10,WEST BANCORPORATION INC
89440,NBBC,65080T10,NEWBRIDGE BANCORP
89481,CRFN,92209W10,CRESCENT FINANCIAL CORP
89481,CRFN,92209W10,CRESCENT FINANCIAL BANCSHARES IN
89481,VSB,92209W10,VANTAGESOUTH BANCSHARES INC
89482,FPTB,05990K10,FIRST PACTRUST BANCORP INC
89482,BANC,05990K10,FIRST PACTRUST BANCORP INC
89482,BANC,05990K10,BANC OF CALIFORNIA INC
89524,CLFC,15146E10,CENTER FINANCIAL CORP
89527,GRNB,39436120,GREEN BANKSHARES INC
89529,JAXB,46924920,JACKSONVILLE BANCORP INC FL
89530,TAYC,87685110,TAYLOR CAPITAL GROUP INC
89531,TONE,88650R10,TIERONE CORP
89573,PKBK,70088510,PARKE BANCORP INC
89576,VBFC,92705T20,VILLAGE BANK AND TRUST FINL CORP
89578,SOMH,83472810,SOMERSET HILLS BANCORP
89612,BOFL,06212810,BANK OF FLORIDA CORP NAPLES
89615,CLBH,14378510,CAROLINA BANK HOLDINGS INC
89620,OLCB,67739920,OHIO LEGACY CORP
89642,BBNK,10803010,BRIDGE CAPITAL HOLDINGS
89643,FCCO,31983510,FIRST COMMUNITY CORP SC
89701,WBNK,92974110,WACCAMAW BANKSHARES INC
89736,HTLF,42234Q10,HEARTLAND FINANCIAL USA INC
89738,MBTF,57887710,M B T FINANCIAL CORP
89740,CJBK,15377010,CENTRAL JERSEY BANCORP NJ
89741,OPHC,68401P40,OPTIMUMBANK HOLDINGS INC
89741,,68401P40,OPTIMUMBANK HOLDINGS INC
89758,NBTF,62874M10,N B & T FINANCIAL GROUP INC
89798,JFBI,47237510,JEFFERSON BANCSHARES INC TENN
89799,MNRK,60907Q10,MONARCH FINANCIAL HOLDINGS INC
89801,PRWT,74092120,PREMIERWEST BANCORP
89820,ATBC,04822110,ATLANTIC BANCGROUP INC
89821,BNCN,05566T10,B N C BANCORP
89825,STBK,85915B10,STERLING BANKS INC
89826,TCBI,88224Q10,TEXAS CAPITAL BANCSHARES INC
89828,UVSP,91527110,UNIVEST CORP OF PENNSYLVANIA
89828,UVSP,91527110,UNIVEST FINANCIAL CORP
89832,FCFL,31985E20,FIRST COMMUNITY BANK CORP AMER
89873,RPFG,75087U10,RAINIER PACIFIC FINL GROUP INC
89938,OLBK,67984M10,OLD LINE BANCSHARES
90006,BKOR,67176810,OAK RIDGE FINANCIAL SERVICES INC
90007,CHEV,16677X10,CHEVIOT FINANCIAL CORP
90080,CSBK,18687310,CLIFTON SAVINGS BANCORP INC
90080,CSBK,18687310,CLIFTON BANCORP INC
90082,CVCY,20393710,CENTRAL VALLEY COMM BANCORP
90082,CWBC,20393710,COMMUNITY WEST BANCSHARES NEW
90085,KFED,82886710,K FED BANCORP
90085,KFFG,82886710,KAISER FEDERAL FINL GROUP INC
90085,SMPL,82886710,SIMPLICITY BANCORP INC
90086,MBVT,58844810,MERCHANTS BANCSHARES INC
90090,SBNY,82669G10,SIGNATURE BANK NEW YORK N Y
90136,SMTB,83244910,SMITHTOWN BANCORP INC
90221,BOCH,06424J10,BANK OF COMMERCE HOLDINGS
90274,ANCX,00433710,ACCESS NATIONAL CORP
90295,XBKS,98410X10,XENITH BANKSHARES INC
90317,TAMB,87485H10,TAMALPAIS BANCORP
90318,EUBK,29871610,EUROBANCSHARES INC
90331,SOCB,84129R10,SOUTHCOAST FINANCIAL CORP
90358,SFST,84287310,SOUTHERN FIRST BANCSHARES INC
90359,HEOP,42724R10,HERITAGE OAKS BANCORP
90399,ACFC,04842610,ATLANTIC COAST FED CORP
90399,ACFC,04842610,ATLANTIC COAST FINANCIAL CORP
90416,NVSL,63906P10,NAUGATUCK VLY FINANCIAL CORP
90416,NVSL,63906P10,NAUGATUCK VLY FINANCIAL CORP MD
90421,SIFI,78425V10,S I FINANCIAL GROUP INC
90421,SIFI,78425V10,S I FINANCIAL GROUP INC MD
90467,ABBC,00350L10,ABINGTON BANCORP INC PA
90470,ATLO,03100110,AMES NATL CORP
90471,BCAR,06425J10,BANK OF THE CAROLINAS CORP
90482,HOME,43710G10,HOME FEDERAL BANCORP INC MD
90487,OSHC,67501R10,OCEAN SHORE HOLDING CO NEW
90490,TBBK,05969A10,BANCORP INC
90534,CZNC,17292210,CITIZENS & NORTHERN CORP
90544,SMMF,86606G10,SUMMIT FINANCIAL GROUP INC
90561,NASB,62896810,N A S B FINANCIAL INC
90588,CSHB,20404610,COMMUNITY SHORES BANK CORP
90590,EBTC,29366810,ENTERPRISE BANCORP INC
90591,EFSC,29371210,ENTERPRISE FINANCIAL SVCS CORP
90603,PFBC,74036740,PREFERRED BANK LOS ANGELES
90634,BOFI,05465C10,B OF I HOLDING INC
90634,BOFI,05465C10,AXOS FINANCIAL INC
90634,AX,05465C10,AXOS FINANCIAL INC
90635,CMFB,20084510,COMMERCEFIRST BANCORP INC
90636,KFFB,49129210,KENTUCKY FIRST FEDERAL BANCORP
90637,PBIP,74431A10,PRUDENTIAL BANCORP INC PA
90637,PBIP,74431A10,PRUDENTIAL BANCORP INC NEW
90662,BFSB,11403910,BROOKLYN FEDERAL BANCORP INC
90665,FFCO,31429C10,FEDFIRST FINANCIAL CORP
90665,FFCO,31429C10,FEDFIRST FINANCIAL CORP NEW
90666,FFNM,32021X10,FIRST FED NORTHN MI BANCORP INC
90710,PLBC,72927310,PLUMAS BANCORP
90711,RCKB,91030410,ROCKVILLE FINANCIAL INC
90711,RCKB,91030410,ROCKVILLE FINANCIAL INC NEW
90711,UBNK,91030410,UNITED FINANCIAL BANCORP INC NEW
90718,BFIN,06643P10,BANKFINACIAL CORP
90719,BFNB,07333410,BEACH FIRST NATL BANCSHARES INC
90722,COBK,19566B10,COLONIAL BANKSHARES INC
90722,COBK,19566B10,COLONIAL FINANCIAL SERVICES INC
90730,HBOS,42726X10,HERITAGE FINANCIAL GROUP
90730,HBOS,42726X10,HERITAGE FINANCIAL GROUP INC
90811,FPBI,30254M10,F P B BANCORP INC
90818,PSBC,69486410,PACIFIC STATE BANCORP
90824,UBNK,91030T10,UNITED FINANCIAL BANCORP INC MD
90862,FSGI,33631220,FIRST SECURITY GROUP INC
90948,GBNK,40075T60,GUARANTY BANCORP
90949,FBIZ,31939010,FIRST BUSINESS FINL SVCS INC
90952,ISBC,46146L10,INVESTORS BANCORP INC
90952,ISBC,46146L10,INVESTORS BANCORP INC NEW
90953,LEGC,52463G10,LEGACY BANCORP INC
90961,WSBF,94188P10,WATERSTONE FINANCIAL INC
90961,WSBF,94188P10,WATERSTONE FINANCIAL INC NEW
90964,BOVA,21851310,BANK OF VIRGINIA
90964,BVA,21851310,CORDIA BANCORP INC
90970,FNSC,32111B10,FIRST NATIONAL BANCSHARES INC SC
90983,PEBK,71057710,PEOPLES BANCORP NC INC NEW
91015,BCBP,05529810,B C B BANCORP INC
91025,NEBS,64386320,NEW ENGLAND BANCSHARES INC
91077,CTBC,20754610,CONNECTICUT BANK & TRUST CO
91083,MGYR,55977T20,MAGYAR BANCORP INC
91167,UCBA,90984R10,UNITED COMMUNITY BANCORP IN
91167,UCBA,90984R10,UNITED COMMUNITY BANCORP NEW
91171,CPBC,90207C10,COMMUNITY PARTNERS BANCORP
91171,TRBC,90207C10,TWO RIVER BANCORP
91171,TRCB,90207C10,TWO RIVER BANCORP
91176,LSBK,51070010,LAKE SHORE BANCORP INC
91187,VYFC,91962910,VALLEY FINANCIAL CORP VA
91266,BAYN,07250010,BAY NATIONAL CORP
91274,FBMS,31891610,FIRST BANCSHARES INC MS
91356,HOMB,43689320,HOME BANCSHARES INC
91360,NCBC,81617L10,NEW CENTURY BANCORP INC NC
91360,SLCT,81617L10,SELECT BANCORP INC
91369,TNCC,88043P10,TENNESSEE COMMERCE BANCORP INC
91397,CBNK,16856510,CHICOPEE BANCORP INC
91400,FCLF,31969M10,FIRST CLOVER LEAF FINANCIAL CORP
91404,LBCP,53017Q10,LIBERTY BANCORP INC MO
91405,NECB,66411210,NORTHEAST COMMUNITY BANCORP INC
91406,NFSB,65175410,NEWPORT BANCORP INC
91407,ROMA,77581P10,ROMA FINANCIAL CORP
91408,SSBI,86626420,SUMMIT STATE BANK
91431,HMPR,98410220,HAMPTON ROADS BANKSHARES INC
91431,XBKS,98410220,XENITH BANKSHARES INC NEW
91472,PBIB,53262L10,PORTER BANCORP INC
91472,LMST,53262L10,LIMESTONE BANCORP INC
