PERMNO,date,CUSIP,PRC,RET,SHROUT,CFACPR,CFACSHR
11786,2001-07-20,78486Q10,20.07000,0.057429,48518,1,1
11786,2001-07-23,78486Q10,20.82000,0.037369,48518,1,1
11786,2001-07-24,78486Q10,20.16000,-0.031700,48518,1,1
11786,2001-07-25,78486Q10,20.14000,-0.000992,48518,1,1
11786,2001-07-26,78486Q10,20.25000,0.005462,48518,1,1
11786,2001-07-27,78486Q10,20.45000,0.009877,48518,1,1
11786,2001-07-30,78486Q10,20.00000,-0.022005,48518,1,1
11786,2001-07-31,78486Q10,20.16000,0.008000,48440,1,1
11786,2001-08-01,78486Q10,20.58000,0.020833,48440,1,1
11786,2001-08-02,78486Q10,21.90000,0.064140,48440,1,1
11786,2001-08-03,78486Q10,21.78000,-0.005479,48440,1,1
11786,2001-08-06,78486Q10,21.62000,-0.007346,48440,1,1
11786,2001-08-07,78486Q10,21.75000,0.006013,48440,1,1
11786,2001-08-08,78486Q10,21.16000,-0.027126,48440,1,1
11786,2001-08-09,78486Q10,21.15000,-0.000473,48440,1,1
11786,2001-08-10,78486Q10,21.67000,0.024586,48440,1,1
11786,2001-08-13,78486Q10,21.68000,0.000461,48440,1,1
11786,2001-08-14,78486Q10,21.30000,-0.017528,48440,1,1
11786,2001-08-15,78486Q10,20.98000,-0.015023,48440,1,1
11786,2001-08-16,78486Q10,21.20000,0.010486,48440,1,1
11786,2001-08-17,78486Q10,20.90000,-0.014151,48440,1,1
